"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"722",72638,2,1,7,4,2,7,1,1,1,25121.070906,25485.633387,9,1,4,4,0.56,5,5,2,2,2,2,37,1,3,4
"723",72639,2,1,13,2,2,13,1,7,1,32382.803976,32185.350241,9,1,8,8,1.67,5,5,0,2,2,1,40,1,5,6
"724",72640,2,2,11,4,1,11,1,5,1,24061.180473,25002.541024,3,1,4,4,0.99,2,2,0,1,2,2,45,1,2,3
"725",72641,2,2,12,3,2,12,1,6,1,43613.570485,46519.174498,13,1,5,5,1.2,3,3,0,1,2,1,42,1,3,1
"726",72642,2,2,10,3,1,10,1,3,1,54686.954525,54338.183542,12,1,15,15,5,4,4,0,2,2,1,40,1,5,1
"727",72643,2,2,11,4,2,11,1,5,1,11070.195016,11628.459945,11,1,4,4,0.78,4,4,0,2,2,1,51,1,2,1
"728",72644,2,1,7,3,1,7,1,1,1,64737.73804,66082.208724,5,1,2,2,0.36,4,4,1,2,2,2,27,1,2,4
"729",72645,2,2,5,3,1,6,1,NA,1,45520.07474,46342.406205,13,1,4,4,0.62,5,5,1,2,2,1,29,1,3,6
"730",72646,2,1,14,3,2,15,1,8,1,40506.034683,41500.548192,9,1,10,10,2.59,5,5,0,3,2,1,40,1,3,1
"731",72647,2,2,9,4,1,9,1,3,1,30296.032247,31597.749162,13,1,7,7,1.3,5,5,0,3,2,1,40,1,4,1
"732",72648,2,2,8,4,2,8,1,2,1,14401.160321,15602.043948,10,1,8,8,2.62,3,3,0,1,2,1,41,1,4,6
"733",72649,2,2,9,5,2,9,2,3,1,43999.013966,45011.469113,13,1,15,15,5,4,4,0,2,2,1,53,1,5,1
"734",72650,2,2,5,3,1,5,1,NA,1,54409.939524,55188.765749,5,1,6,6,1.57,3,3,1,0,2,1,49,1,3,1
"735",72651,2,1,3,3,2,3,1,NA,1,49003.522576,48769.861131,6,1,7,7,1.16,6,6,2,3,2,2,31,1,4,3
"736",72652,2,2,12,3,2,13,1,6,1,13970.586322,13898.727354,7,1,14,14,2.58,6,6,1,3,2,2,35,1,5,1
"737",72653,2,2,8,4,2,8,1,2,1,12235.478702,13255.77052,11,1,3,3,0.63,3,3,0,1,2,1,27,1,2,6
"738",72654,2,2,7,5,2,7,1,1,1,22841.443791,23409.654561,6,1,7,7,1.16,6,6,2,3,2,2,31,1,4,3
"739",72655,2,1,9,3,2,9,1,3,1,49826.116483,50055.69713,9,1,14,14,3.52,5,5,1,2,2,1,36,1,5,1
"740",72656,2,1,6,5,1,6,1,0,1,56320.954111,58183.472811,3,1,9,9,2.6,4,4,1,1,2,2,36,1,3,1
"741",72657,2,1,13,3,1,13,1,6,1,30590.606094,32580.298394,14,1,15,15,4.43,4,4,0,2,2,1,37,1,4,1
"742",72658,2,2,12,4,2,12,1,6,1,18446.289779,19680.5881,10,1,15,15,5,6,6,0,3,2,1,46,1,3,1
"743",72659,2,2,5,1,1,5,1,NA,1,26063.865378,28178.586667,3,1,12,12,NA,3,3,1,0,2,1,20,1,4,1
"744",72660,2,1,6,2,1,6,1,1,2,25431.339062,26326.828352,15,1,7,7,1.82,4,4,0,2,2,1,40,2,5,1
"745",72661,2,2,10,5,2,10,1,4,1,32445.936096,33368.723071,9,1,9,9,2.6,4,4,0,1,2,2,43,2,4,1
"746",72662,2,2,8,2,2,8,1,1,2,29610.81468,30171.829994,8,1,12,5,0.87,5,4,0,2,2,1,38,2,1,6
"747",72663,2,2,13,5,2,13,1,8,1,29916.29912,30805.351651,9,1,15,15,5,5,5,0,2,1,2,48,1,5,1
"748",72664,2,2,11,2,1,11,2,4,1,23155.026333,23821.58099,14,1,4,4,0.69,4,4,1,1,2,2,26,2,2,5
"749",72665,2,1,14,3,2,14,1,7,1,36851.674629,38873.191468,6,1,14,14,3.69,4,4,0,2,2,1,42,1,3,1
"750",72666,2,2,5,4,2,5,1,NA,1,28574.645151,30064.815552,9,1,15,15,5,4,4,2,0,2,2,44,1,5,1
"751",72667,2,2,14,2,1,14,1,8,2,34763.569613,34481.832238,2,1,4,4,0.52,7,7,1,3,2,2,40,2,3,4
"752",72668,2,1,10,3,1,10,1,3,1,64806.257223,66949.382599,5,1,9,9,3.14,3,3,0,1,2,1,54,1,5,1
"753",72669,2,2,12,3,1,12,1,6,1,36512.159546,37491.624498,13,1,4,4,0.58,6,6,0,4,2,2,41,1,4,1
"754",72670,2,2,6,3,2,6,1,0,1,29168.633713,30128.0024,12,1,6,6,1.48,4,4,0,2,2,2,40,1,4,1
"755",72671,2,1,15,3,2,15,1,9,1,29207.902012,31107.659656,12,1,15,15,5,5,5,0,2,1,1,60,1,5,1
"756",72672,2,1,10,1,1,10,1,3,1,32079.425024,32460.37786,2,1,5,5,0.74,5,5,0,3,2,2,51,1,2,3
"757",72673,2,1,15,3,1,15,1,9,1,44072.320678,46938.898635,13,1,9,9,2.22,5,5,0,3,2,1,59,1,4,1
"758",72674,2,2,8,1,1,8,1,1,2,22367.179373,27631.753273,14,1,5,5,0.65,6,6,2,2,2,1,32,2,1,1
"759",72675,2,2,11,4,2,11,1,5,1,14401.160321,15019.928938,10,1,15,15,3.7,5,5,1,2,2,1,50,2,5,1
"760",72676,2,1,9,4,2,9,1,3,1,15189.201871,15904.813169,10,1,15,15,5,5,5,1,2,2,1,41,1,5,1
"761",72677,2,1,12,3,2,12,1,5,1,36851.674629,39079.521063,6,1,9,9,3.97,2,2,0,1,2,2,48,1,3,3
"762",72678,2,1,5,1,1,5,1,NA,1,23354.163437,23695.429529,3,1,4,4,0.69,4,4,2,0,2,2,24,1,4,1
"763",72679,2,2,5,4,2,6,1,NA,1,24362.968768,25881.051251,12,1,2,2,0.42,3,3,2,0,2,2,31,1,3,4
"764",72680,2,2,7,2,2,7,1,1,2,13405.308939,13693.22021,10,1,8,8,1.07,7,7,1,2,2,1,55,2,1,1
"765",72681,2,1,7,4,2,7,1,1,1,25121.070906,26239.42402,9,1,8,8,1.95,4,4,0,3,2,2,36,1,5,5
"766",72682,2,2,4,1,1,4,1,NA,1,22805.882206,24318.203874,3,1,6,6,0.87,6,6,2,2,2,1,22,1,4,6
"767",72683,2,2,7,1,2,7,1,1,2,12767.222691,13009.114294,7,1,13,13,NA,4,4,0,2,2,1,30,2,2,1
"768",72684,2,2,4,4,2,4,1,NA,1,13677.243295,14390.512805,7,1,12,12,NA,5,5,1,1,1,1,73,1,3,1
"769",72685,2,2,13,4,2,13,1,7,1,11479.466812,11781.96937,7,1,8,8,1.61,6,6,0,3,2,2,43,2,3,1
"770",72686,2,1,5,3,1,5,1,NA,1,49472.31198,48545.505682,5,1,15,15,4.44,5,5,1,2,2,1,42,1,5,1
"771",72687,2,1,4,2,1,4,1,NA,1,27389.928585,28092.531857,15,1,15,15,5,4,4,2,0,2,1,35,1,4,6
"772",72688,2,2,13,2,1,13,1,7,1,25433.099306,25808.785932,15,1,5,5,0.87,4,4,0,2,2,2,38,2,4,1
"773",72689,2,2,12,5,1,12,1,6,1,31637.337327,32407.741429,3,1,10,10,2.41,5,5,0,3,2,1,35,1,5,1
"774",72690,2,2,10,2,2,10,1,4,2,13405.308939,16560.523031,10,1,12,9,1.66,7,7,0,4,2,2,56,2,1,4
"775",72691,2,1,8,3,1,8,1,1,1,101193.698251,103295.284819,12,1,14,14,3.67,5,5,0,3,2,1,37,1,5,1
"776",72692,2,2,6,2,2,6,1,0,2,11474.836598,12175.558567,11,1,12,14,2.91,7,6,1,1,1,1,60,2,1,1
"777",72693,2,2,4,4,2,4,1,NA,1,17474.610153,19145.921859,10,1,14,14,3.69,5,4,2,0,2,1,55,2,5,1
"778",72694,2,2,5,2,2,5,1,NA,2,13311.169988,14444.409336,10,1,6,6,0.93,5,5,2,1,2,1,34,2,1,1
"779",72695,2,1,12,5,1,12,1,6,1,33055.844715,34871.513763,3,1,9,9,1.94,6,6,0,3,2,1,56,2,4,1
"780",72696,2,1,9,2,2,9,1,3,2,12656.452575,13102.11207,10,1,8,8,1.61,6,6,1,2,2,1,34,2,3,1
"781",72697,2,1,7,3,2,7,1,1,1,53534.748626,53781.417303,8,1,12,12,NA,5,5,0,3,2,1,46,1,5,1
"782",72698,2,1,13,3,1,13,1,6,1,44072.320678,46938.898635,13,1,5,5,0.65,6,6,1,2,2,1,43,1,3,1
"783",72699,2,2,12,3,1,12,1,6,1,36512.159546,37491.624498,13,1,1,1,0.2,4,4,1,2,2,2,37,1,4,3
"784",72700,2,1,7,5,1,7,1,0,1,48845.991527,50958.821155,4,1,15,1,0,3,1,0,1,2,2,38,1,5,6
"785",72701,2,1,7,4,2,7,1,1,1,25121.070906,26239.42402,9,1,8,8,1.95,4,4,0,3,2,2,36,1,5,5
"786",72702,2,1,14,2,2,14,1,7,1,14687.339497,14520.711173,7,1,15,9,3.14,7,3,0,2,2,1,55,2,2,1
"787",72703,2,1,8,3,1,9,1,2,1,37039.520653,39894.386195,14,1,5,5,1.45,2,2,0,1,2,1,48,1,2,3
"788",72704,2,1,14,1,1,14,1,8,2,37565.810857,36652.973167,2,1,4,4,0.48,6,6,0,3,1,2,39,2,3,5
"789",72705,2,2,12,1,1,12,1,6,2,25247.359202,25042.744866,3,1,9,9,2,6,6,1,3,2,1,40,2,1,1
"790",72706,2,1,14,2,1,14,1,6,2,26580.533966,31860.631573,15,1,5,5,0.65,6,6,0,4,2,2,41,2,1,5
"791",72707,2,2,9,3,1,9,1,2,1,54686.954525,54338.183542,5,1,3,3,0.48,5,5,1,2,2,1,26,1,4,1
"792",72708,2,1,3,3,1,3,1,NA,1,73284.11336,72934.675792,2,1,8,8,1.61,6,6,1,3,2,1,36,1,4,1
"793",72709,2,1,12,3,2,12,1,5,1,38167.805866,40475.218244,6,1,12,12,NA,3,3,0,1,2,1,53,1,3,1
"794",72710,2,2,13,4,2,13,1,7,1,13901.634255,14767.94044,7,1,7,7,1.74,4,4,1,1,2,1,37,1,3,1
"795",72711,2,1,12,3,2,12,1,5,1,36851.674629,38873.191468,6,1,15,15,5,4,4,0,2,2,1,47,1,4,1
"796",72712,2,2,7,1,1,7,1,1,2,23715.79733,24135.890159,3,1,4,4,0.65,4,4,1,1,2,1,30,2,3,1
"797",72713,2,2,5,2,1,5,1,NA,2,18500.765574,19763.664661,1,1,5,3,0.39,7,6,3,1,2,1,42,2,1,6
"798",72714,2,2,11,2,2,11,1,5,2,13405.308939,14223.917064,10,1,6,6,1.57,3,3,0,1,2,1,57,2,1,1
"799",72715,2,2,7,4,1,7,1,2,1,24625.619433,25284.348915,1,1,7,7,1.29,6,6,1,2,2,2,40,1,4,1
"800",72716,2,1,12,4,2,12,1,6,1,14834.408422,15425.779393,11,1,1,1,0.21,3,3,0,1,2,2,57,1,4,77
"801",72717,2,2,11,2,2,11,1,6,1,24199.663423,24658.157454,8,1,1,1,0,5,5,0,3,2,2,44,2,2,5
"802",72718,2,2,4,3,2,5,1,NA,1,30167.367231,30932.111008,4,1,15,15,4.34,4,4,2,0,2,1,38,1,5,1
"803",72719,2,1,4,3,2,4,1,NA,1,49003.522576,49507.727167,6,1,15,15,5,4,4,1,1,2,2,37,1,3,1
"804",72720,2,1,13,4,2,13,2,8,1,17935.283698,17954.425613,10,1,8,8,1.61,6,6,0,3,2,2,43,2,3,5
"805",72721,2,1,6,5,1,6,1,0,1,24655.826054,26002.177112,14,1,15,15,4.84,6,6,1,1,1,1,80,1,4,1
"806",72722,2,1,15,1,1,15,1,9,1,38697.635998,37757.295304,2,1,14,14,3.47,4,4,0,3,2,1,41,1,4,3
"807",72723,2,2,15,3,2,15,1,8,1,35270.278867,36126.689142,6,1,7,7,1.56,4,4,0,2,2,2,52,1,4,3
"808",72724,2,2,11,3,1,11,1,5,1,30785.596225,31798.147493,14,1,14,14,4.19,3,3,0,2,2,2,45,1,4,3
"809",72725,2,2,11,5,1,11,1,5,1,24786.122871,25788.797549,3,1,14,14,3.47,4,4,0,2,2,1,34,1,4,1
"810",72726,2,1,7,3,2,7,1,0,1,35365.323803,36932.353742,5,1,4,4,0.59,5,5,1,2,2,1,45,1,3,1
"811",72727,2,1,10,5,1,10,1,4,1,48952.665151,50636.21719,1,1,14,14,3.69,4,4,0,2,2,1,44,2,4,1
"812",72728,2,1,15,5,2,15,1,7,1,14596.978477,15479.430273,7,1,77,77,NA,4,4,0,1,2,2,56,2,3,1
"813",72729,2,1,10,3,1,11,1,4,1,64737.73804,65961.632019,4,1,8,8,1.29,7,7,1,4,2,2,35,1,5,1
"814",72730,2,1,10,5,2,11,1,4,1,16357.602015,17250.821927,10,1,4,4,0.76,4,4,0,2,2,1,31,1,4,1
"815",72731,2,2,13,4,2,14,1,8,1,29043.445178,30853.341464,9,1,15,15,5,5,5,0,1,2,2,57,1,5,1
"816",72732,2,2,10,5,2,10,1,4,1,16814.336977,17912.288662,10,1,14,14,4.92,3,3,0,1,2,1,42,2,4,1
"817",72733,2,2,8,4,2,8,1,2,1,9047.514577,9412.873338,7,1,7,7,1.84,4,4,0,2,1,2,79,2,3,2
"818",72734,2,1,8,4,2,8,1,2,1,12950.603961,13657.782026,11,1,8,8,1.95,4,4,1,1,2,2,31,1,4,6
"819",72735,2,2,12,3,1,12,1,6,1,26539.751016,27446.698982,14,1,15,15,5,4,4,0,2,2,2,46,1,5,1
"820",72736,2,1,13,3,1,13,1,6,1,52628.405492,55448.20306,4,1,6,6,1.08,4,4,0,2,1,2,49,1,4,77
"821",72737,2,2,6,1,1,6,1,0,2,32654.750004,32837.444139,2,1,4,4,0.48,6,6,0,3,1,2,39,2,3,5
"822",72738,2,2,5,1,1,5,1,NA,1,22805.882206,24656.263333,3,1,3,3,0.46,5,5,3,0,2,2,24,1,2,1
"823",72739,2,1,15,3,1,15,1,9,1,46886.548568,49461.901149,2,1,14,14,3.38,4,4,0,2,2,2,44,1,4,1
"824",72740,2,1,13,3,2,14,1,7,1,40506.034683,42954.803317,9,1,15,15,4.99,4,4,0,2,2,1,40,1,4,1
"825",72741,2,2,7,3,2,7,1,1,1,38290.064711,39549.441119,8,1,8,8,1.95,4,4,0,2,2,1,35,1,2,1
"826",72742,2,1,13,1,2,13,1,7,2,15809.854944,15669.318497,10,1,4,4,0.68,5,5,1,2,2,1,32,2,2,1
"827",72743,2,1,13,1,1,13,2,7,1,37565.810857,37094.695942,2,1,6,6,1.18,5,5,0,1,2,2,19,2,3,NA
"828",72744,2,1,6,5,2,6,1,0,1,53534.748626,55666.016547,8,1,12,12,NA,3,3,0,1,2,2,50,2,5,1
"829",72745,2,1,8,4,1,8,1,1,1,24655.826054,26002.177112,14,1,7,7,2.3,3,3,0,2,2,1,33,1,5,3
"830",72746,2,1,9,3,2,9,1,3,1,49073.519574,50757.771732,8,1,14,14,3.25,4,4,0,2,2,1,41,1,5,5
"831",72747,2,1,13,5,2,13,2,6,1,30303.749232,30118.972507,6,1,99,99,NA,4,4,0,2,2,2,46,2,9,1
"832",72748,2,1,13,1,2,13,2,7,2,29684.236978,28910.072013,9,1,8,8,1.45,6,6,1,3,2,1,33,2,1,1
"833",72749,2,2,9,4,2,9,1,3,1,20077.988353,20940.670859,12,1,1,1,0.06,5,5,1,2,2,1,28,1,3,1
"834",72750,2,2,13,1,1,13,1,7,1,25247.359202,25376.972686,3,1,10,10,2.41,5,5,0,3,2,1,42,2,4,1
"835",72751,2,1,6,3,1,6,1,0,1,40905.582965,44058.429902,14,1,2,2,0.4,2,2,0,1,2,2,30,1,4,5
"836",72752,2,1,9,3,1,9,1,3,1,43608.819267,46970.021389,13,1,9,9,2.04,5,5,0,2,1,1,39,1,3,1
"837",72753,2,2,5,4,2,5,1,NA,1,17474.610153,18563.471688,10,1,8,8,2.04,4,4,1,1,2,1,54,1,3,1
"838",72754,2,2,14,2,2,14,1,7,2,11107.942722,11223.4648,7,1,12,12,NA,3,3,0,1,2,2,46,2,4,4
"839",72755,2,2,7,4,2,8,1,2,1,14401.160321,15019.928938,10,1,4,4,0.56,5,5,1,2,2,1,29,1,4,1
"840",72756,2,2,3,1,1,3,1,NA,1,18500.765574,20001.84618,1,1,13,13,NA,4,4,1,0,2,1,30,1,2,6
"841",72757,2,1,13,3,1,13,1,7,1,82265.200268,86672.919056,4,1,14,14,4.19,3,3,0,1,2,1,41,1,4,1
"842",72758,2,1,9,4,2,9,1,3,1,21176.669897,22174.369735,12,1,4,4,0.59,5,5,2,2,2,2,37,1,3,1
"843",72759,2,2,5,2,2,5,1,NA,1,26909.41117,29127.974309,6,1,2,2,0.22,4,4,1,2,2,2,55,1,3,5
"844",72760,2,2,14,3,1,14,1,7,1,50369.991506,51596.556424,4,1,3,3,0.52,4,4,1,2,2,2,41,1,4,3
"845",72761,2,1,7,5,1,7,1,0,1,48862.775842,49571.883143,5,1,7,4,1.16,3,2,0,2,2,1,29,1,3,3
"846",72762,2,1,13,4,2,13,1,7,1,18126.225249,18275.411928,10,1,5,5,0.78,5,5,0,2,2,1,52,2,5,1
"847",72763,2,2,12,4,2,13,1,5,1,25717.677124,27243.584484,12,1,7,7,1.74,4,4,1,2,2,2,30,1,4,5
"848",72764,2,1,6,3,1,6,1,0,1,56320.954111,58183.472811,3,1,12,12,NA,6,5,1,2,2,2,39,1,2,5
"849",72765,2,2,7,1,1,7,1,1,1,33638.609161,34278.270212,2,1,9,9,2.22,6,5,0,2,1,1,61,1,3,1
"850",72766,2,2,8,3,1,8,1,2,1,58593.165563,58219.482366,5,1,14,14,3.9,4,4,1,1,2,1,35,1,4,1
"851",72767,2,2,7,2,1,7,1,1,2,20616.946721,21008.991996,1,1,3,3,0.52,4,4,1,1,2,2,59,2,1,3
"852",72768,2,2,6,1,1,6,1,0,1,26311.039683,26458.242544,3,1,15,15,3.81,5,5,1,2,2,2,35,1,4,1
"853",72769,2,1,11,2,2,11,1,5,1,10927.85005,13584.259226,11,1,6,6,1.07,6,6,0,4,2,2,36,1,3,1
"854",72770,2,1,8,3,2,8,1,2,1,28900.727269,29966.883714,4,1,14,14,2.96,5,5,0,3,2,1,38,1,4,1
"855",72771,2,2,7,3,1,7,1,0,1,52114.209299,51781.84623,5,1,6,6,1.21,4,4,0,3,2,2,30,1,4,5
"856",72772,2,2,15,4,2,15,1,9,1,18143.976808,19965.427296,10,1,5,5,1.59,2,2,0,1,2,2,55,1,3,3
"857",72773,2,1,8,3,2,8,1,2,1,16603.856825,17339.570173,11,1,15,15,5,4,4,0,2,2,2,41,2,5,1
"858",72774,2,2,10,2,2,11,1,5,1,13405.308939,14223.917064,10,1,15,15,5,4,4,0,1,2,1,38,2,2,1
"859",72775,2,1,15,3,1,15,1,8,1,28156.606273,29665.219903,1,1,15,15,4.34,4,4,0,1,2,1,45,1,4,1
"860",72776,2,2,10,3,1,10,1,3,1,30785.596225,31798.147493,14,1,15,15,5,4,4,0,2,2,2,40,1,5,1
"861",72777,2,1,10,2,2,10,1,4,1,10250.275682,10509.712924,7,1,14,14,3.3,4,4,0,2,2,2,45,2,5,4
"862",72778,2,2,10,4,2,10,1,3,1,20077.988353,20940.670859,12,1,3,3,0.43,4,4,2,1,2,2,27,1,4,5
"863",72779,2,2,5,3,2,5,1,NA,1,32204.277256,32786.055529,12,1,6,6,0.96,6,6,3,1,2,2,31,1,4,1
"864",72780,2,1,8,3,1,8,1,1,1,64737.73804,66964.16127,4,1,9,9,2.39,4,4,1,1,2,2,32,1,4,1
"865",72781,2,2,12,4,1,12,1,6,1,32789.376577,34983.415211,14,1,10,10,2.99,4,4,0,3,2,2,43,1,4,5
"866",72782,2,2,3,3,1,3,1,NA,1,54409.939524,53668.26069,5,1,10,10,2.59,5,5,3,0,2,1,35,1,5,1
"867",72783,2,2,12,2,1,13,1,6,1,28948.85588,30298.196274,15,1,12,12,NA,3,3,0,1,2,1,49,2,2,1
"868",72784,2,2,7,4,2,7,1,1,1,20077.988353,21752.251187,12,1,5,5,1.05,3,3,0,1,1,2,62,1,2,2
"869",72785,2,1,4,5,2,5,1,NA,1,31982.680857,35023.430162,6,1,7,7,1.16,6,6,2,3,2,2,31,1,4,3
"870",72786,2,1,5,3,2,5,1,NA,1,45708.481584,46178.783005,9,1,1,1,0.04,6,5,3,0,2,1,26,1,3,6
"871",72787,2,1,5,3,2,5,1,NA,1,49003.522576,49770.502333,6,1,15,15,4.77,4,4,2,0,2,1,43,2,5,1
"872",72788,2,2,9,5,1,9,1,2,1,47526.606045,47983.147639,3,1,15,15,3.87,6,6,0,3,1,2,40,2,5,1
"873",72789,2,2,11,5,1,11,1,4,1,85392.605771,87363.511478,4,1,6,6,1.3,4,4,0,2,2,1,53,1,3,3
"874",72790,2,2,5,3,2,5,1,NA,1,45520.07474,48138.46066,13,1,14,14,3.15,5,5,3,0,2,1,32,1,4,1
"875",72791,2,2,7,5,2,7,1,0,1,19228.471631,19670.935299,7,1,6,6,1.3,4,4,1,1,2,1,41,2,5,1
"876",72792,2,1,8,2,1,8,1,2,1,25431.339062,27152.862724,15,1,10,10,3.67,3,3,0,1,2,1,50,2,5,1
"877",72793,2,1,6,2,2,6,1,0,1,12656.452575,13513.205832,10,1,9,9,3.14,3,3,0,1,2,1,40,2,4,1
"878",72794,2,2,10,1,1,10,1,4,1,28987.775314,29610.357553,13,1,6,6,0.97,6,6,0,4,2,2,37,1,2,3
"879",72795,2,1,10,2,1,10,1,3,2,21117.68899,21861.285867,14,1,1,1,0,5,5,2,1,2,1,38,2,1,1
"880",72796,2,1,10,1,1,10,1,4,2,21117.68899,22547.208732,14,1,4,4,0.69,4,4,1,1,2,1,38,2,1,1
"881",72797,2,1,6,3,2,6,1,1,1,49826.116483,51809.740324,9,1,14,14,3.18,5,5,2,1,2,1,26,1,4,1
"882",72798,2,2,11,3,2,11,1,5,1,45076.93129,46114.190242,6,1,15,15,5,4,4,0,2,2,2,58,1,5,1
"883",72799,2,2,13,1,1,13,1,7,2,21948.373895,22061.051233,1,1,99,99,NA,4,4,0,2,2,2,49,2,1,6
"884",72800,2,2,10,1,1,10,1,4,1,23562.224824,24010.276567,1,1,7,7,1.48,5,5,0,3,2,1,36,1,3,1
"885",72801,2,2,6,3,1,6,1,0,1,41812.414642,43187.642627,13,1,14,14,3.25,4,4,0,2,2,2,30,1,4,1
"886",72802,2,2,10,3,1,10,1,4,1,32521.991343,33352.99539,14,1,15,15,3.7,5,5,1,2,2,1,41,1,5,1
"887",72803,2,2,5,1,1,5,1,NA,1,22805.882206,24362.657124,3,1,12,6,0.97,7,6,1,2,1,1,59,1,9,1
"888",72804,2,1,15,3,1,15,1,9,1,50205.586609,51438.245755,5,1,9,9,2.39,4,4,0,2,2,2,39,1,2,1
"889",72805,2,1,5,1,1,5,1,NA,1,21652.0532,21706.847205,1,1,6,6,0.87,7,7,2,2,1,2,54,1,4,1
"890",72806,2,1,12,4,2,12,1,7,1,18126.225249,18145.570951,10,1,15,15,5,5,5,1,2,2,1,41,1,5,1
"891",72807,2,1,7,1,1,7,1,3,2,33045.950141,33438.380754,2,1,3,3,0.39,6,6,2,2,2,1,45,2,1,6
"892",72808,2,2,9,3,2,9,1,3,1,27710.202027,29519.63781,12,1,2,2,0.14,7,7,3,1,2,2,42,1,4,4
"893",72809,2,1,11,4,2,11,1,55,1,9929.142289,10073.236176,7,1,8,8,1.61,6,6,0,3,2,2,43,2,3,1
"894",72810,2,2,14,1,1,14,1,8,2,21948.373895,21770.495809,1,1,5,5,0.71,6,6,0,4,2,2,47,2,4,1
"895",72811,2,1,3,3,2,3,1,NA,1,15554.242681,16363.855959,10,1,14,14,4.98,3,3,1,0,2,1,32,1,4,1
"896",72812,2,1,4,4,2,5,1,NA,1,27327.278423,30671.546325,12,1,6,6,1.3,4,4,2,0,2,1,47,1,3,6
"897",72813,2,1,4,3,2,4,1,NA,1,19410.335393,19046.705307,7,1,1,1,0.08,6,6,1,2,1,1,40,2,1,1
"898",72814,2,2,10,1,1,10,1,4,1,32654.750004,32777.527394,2,1,2,2,0.26,6,6,1,4,2,2,31,1,3,4
"899",72815,2,1,10,1,1,10,1,4,1,20253.708771,20767.749639,1,1,7,7,1.61,4,4,0,2,2,2,39,1,4,3
"900",72816,2,1,7,4,2,7,1,2,1,21176.669897,22174.369735,12,1,1,1,0.06,5,5,1,2,2,1,28,1,3,1
"901",72817,2,1,12,3,2,12,1,6,1,40506.034683,42728.01325,9,1,10,10,3.04,4,4,0,2,2,1,50,1,3,1
"902",72818,2,2,9,5,2,9,1,3,1,45076.93129,46114.190242,6,1,15,15,5,4,4,0,2,2,2,30,1,5,1
"903",72819,2,1,9,3,2,9,1,3,1,49826.116483,50055.69713,9,1,15,15,3.7,5,5,1,2,2,1,42,1,1,1
"904",72820,2,1,12,3,1,13,1,6,1,26818.909905,28563.281311,14,1,15,15,5,4,4,0,2,2,2,40,1,5,1
"905",72821,2,2,13,3,2,13,1,7,1,38767.821367,38568.415587,9,1,10,10,2.59,5,5,0,3,2,1,40,1,3,1
"906",72822,2,1,8,4,2,8,1,2,1,21176.669897,22174.369735,12,1,3,3,0.37,5,5,1,3,2,2,29,1,3,5
"907",72823,2,1,13,3,1,13,1,7,1,30590.606094,32348.825759,14,1,6,6,0.96,5,5,0,3,2,1,44,1,4,1
"908",72824,2,1,7,5,2,7,1,0,1,21158.909654,22001.265443,7,1,10,10,2.82,4,4,0,1,2,2,48,2,3,2
"909",72825,2,2,15,3,1,15,1,9,1,32434.486606,34595.322634,14,1,14,14,5,2,2,0,1,2,1,40,1,5,3
"910",72826,2,1,8,3,1,8,1,2,1,43608.819267,45541.116728,13,1,10,10,3.04,4,4,1,1,2,1,37,1,4,1
"911",72827,2,1,3,4,1,3,1,NA,1,30289.304163,33229.688347,1,1,7,7,1.29,6,6,1,2,2,2,40,1,4,1
"912",72828,2,1,14,4,2,15,1,8,1,16088.611854,16151.148313,7,1,14,14,4.09,3,3,0,1,2,1,35,1,5,1
"913",72829,2,2,6,3,1,6,1,0,1,46854.894838,48395.972127,13,1,8,8,1.61,6,6,1,2,2,1,51,1,4,1
"914",72830,2,1,3,3,2,3,1,NA,1,49003.522576,49770.502333,6,1,15,15,5,5,5,1,0,2,2,36,2,5,1
"915",72831,2,2,11,5,1,11,2,5,1,23376.639988,24381.054276,14,1,15,15,3.7,5,5,0,3,2,1,42,2,5,1
"916",72832,2,2,14,4,2,14,1,8,1,13586.712811,14950.665429,11,1,10,10,3.77,3,3,0,1,1,1,66,1,4,1
"917",72833,2,1,3,2,2,3,1,NA,1,25315.196066,24977.467635,8,1,14,14,2.42,6,6,1,2,2,2,41,1,5,1
"918",72834,2,2,3,1,1,3,1,NA,1,43504.096166,47094.024973,4,1,6,6,1.26,4,4,1,1,2,1,56,1,2,1
"919",72835,2,1,4,4,2,4,1,NA,1,27327.278423,31633.901196,12,1,7,7,1.99,3,3,1,0,2,1,30,1,3,6
"920",72836,2,1,12,3,2,13,2,6,1,33854.53791,34685.742336,8,1,15,15,5,6,5,1,2,2,1,46,2,5,1
"921",72837,2,1,10,1,1,10,1,3,2,32079.425024,32460.37786,2,1,1,1,0,5,4,1,2,2,2,36,2,1,5
"922",72838,2,2,9,1,2,10,1,3,1,28232.940661,28920.543227,8,1,15,15,3.23,6,6,0,1,2,2,42,1,4,1
"923",72839,2,2,14,2,1,14,1,8,1,25083.85588,25212.629981,1,1,7,7,1.48,5,5,0,3,2,1,36,1,3,1
"924",72840,2,1,12,3,1,12,1,6,1,30590.606094,32580.298394,14,1,15,15,5,4,4,0,2,2,1,39,1,5,1
