"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"589",72505,2,1,14,3,1,14,1,8,1,46886.548568,48810.462396,13,1,15,15,4.34,5,4,0,3,2,2,39,1,3,4
"590",72506,2,1,8,1,1,8,1,2,1,27368.440757,28130.848527,13,1,5,5,0.74,5,5,0,3,2,2,30,1,4,1
"591",72507,2,1,12,3,2,12,1,5,1,36851.674629,38873.191468,6,1,15,15,4.26,5,5,0,2,1,1,48,1,2,1
"592",72508,2,2,5,4,1,5,1,NA,1,27003.690594,28413.870217,1,1,7,7,1.3,5,5,1,1,2,2,38,1,4,5
"593",72509,2,1,3,3,2,3,1,NA,1,49003.522576,49507.727167,6,1,14,14,3.47,4,4,2,0,2,2,32,1,5,1
"594",72510,2,1,11,3,2,11,1,5,1,49826.116483,50055.69713,9,1,15,15,3.7,5,5,1,2,2,1,42,1,1,1
"595",72511,2,2,15,4,2,15,1,9,1,27071.239078,29788.885938,12,1,8,8,2.3,4,4,1,1,2,1,45,1,4,4
"596",72512,2,2,7,5,1,8,1,1,1,32521.991343,34645.629952,14,1,10,10,3.4,3,3,0,1,1,1,60,2,5,1
"597",72513,2,1,12,2,2,12,1,6,2,29684.236978,29347.468384,9,1,13,3,0.43,5,4,1,1,2,1,34,2,5,1
"598",72514,2,2,7,1,1,8,1,2,2,26936.059281,28580.935731,15,1,5,5,0.87,4,4,0,1,1,1,40,2,1,1
"599",72515,2,1,15,3,1,15,1,8,1,52628.405492,54687.958521,4,1,8,8,1.29,7,7,1,4,2,2,35,1,5,1
"600",72516,2,1,9,4,1,9,1,3,1,22268.312093,23317.442644,15,1,14,14,2.96,5,5,0,3,2,2,30,1,3,1
"601",72517,2,2,8,3,2,8,1,2,1,41410.836674,42363.735636,8,1,15,15,5,4,4,0,2,2,2,46,1,5,1
"602",72518,2,2,6,1,1,6,1,0,1,32654.750004,32837.444139,2,1,5,5,0.74,5,5,0,3,2,2,51,1,2,3
"603",72519,2,1,8,4,1,8,1,3,1,30178.060192,31523.689417,3,1,77,77,NA,5,5,0,2,2,2,48,1,2,1
"604",72520,2,2,5,3,1,5,1,NA,1,45520.07474,48138.46066,13,1,3,3,0.44,5,5,2,0,2,1,45,1,2,1
"605",72521,2,2,10,1,1,10,1,4,1,33638.609161,33826.807711,2,1,3,3,0.48,5,5,1,2,2,1,32,2,2,1
"606",72522,2,2,14,2,1,14,1,7,1,21948.373895,22061.051233,1,1,9,9,1.78,6,6,1,3,2,1,43,NA,NA,1
"607",72523,2,1,5,2,2,5,1,NA,2,33718.066554,34434.015804,6,1,8,8,2.62,3,3,1,0,2,1,42,2,3,1
"608",72524,2,2,8,2,1,8,1,2,1,33638.609161,34278.270212,2,1,14,14,3.33,5,5,1,1,2,1,36,2,5,1
"609",72525,2,2,6,3,1,7,1,1,1,32521.991343,33352.99539,14,1,6,6,0.96,5,5,0,3,2,1,44,1,4,1
